"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"yefM",6.7871539547533,6.78490614475977,10.335325712246,0.00019132762545699,0.413849823530341,0.283793499847344
"alaT",-4.73009932256254,1.14659530528379,-10.033003046802,0.000219260923781321,0.413849823530341,0.228529122812879
"trmI",5.08816513684918,5.67446629474503,8.43783465630151,0.000482182435433488,0.413849823530341,-0.132619816503544
"rydB",-3.65959482096971,0.93249440496522,-7.76235835338837,0.000701467600173707,0.413849823530341,-0.33011877070028
"tRNA",-3.62030634868354,0.924636710507987,-7.67902366308471,0.000736121160589645,0.413849823530341,-0.356749905184344
"tRNA",-3.55324022527818,0.911223485826915,-7.53676985939531,0.000800128546174747,0.413849823530341,-0.403458618510555
"asnU",-3.55324022527818,0.911223485826915,-7.53676985939531,0.000800128546174747,0.413849823530341,-0.403458618510555
"rplD",3.58130618975633,4.67358458467633,7.3248112231279,0.000908300771785028,0.413849823530341,-0.476098750069476
"hisL",-3.40657381799227,0.881890204369732,-7.22567607239088,0.000964850218185065,0.413849823530341,-0.511377665867333
"yohK",-3.17477786824674,0.896459002132434,-6.95580114651561,0.00114145879472124,0.413849823530341,-0.611864448072242
"ybbV",-3.72499899657517,1.18030813318271,-6.83693364237602,0.00123134515943322,0.413849823530341,-0.65828397481985
"STnc70",-3.16495590442213,0.833566621655704,-6.71318085871788,0.00133404106363159,0.413849823530341,-0.708082997605751
"MicA",-4.88262960622872,1.56873589702415,-6.64469816522599,0.00139525293773519,0.413849823530341,-0.736305148532063
"ldrA",-3.0968095584987,0.819937352471019,-6.56863579747216,0.00146720468643998,0.413849823530341,-0.76821961714925
"yoaI",-3.09419860786042,0.819415162343363,-6.56309771593887,0.00147261397735844,0.413849823530341,-0.770567003385577
"mokB",-3.23584996436015,1.02584524398867,-6.50917558409274,0.00152654263452249,0.413849823530341,-0.793592867080618
"yebT",3.34595893391601,6.95271055668684,6.44777996695368,0.00159083444999246,0.413849823530341,-0.820190313117789
"yegR",-3.01995702749981,0.804566846271241,-6.40562406662153,0.00163684834619779,0.413849823530341,-0.83869072535916
"yehW",-5.69809470322631,2.27681743055706,-6.30262391442084,0.00175610192429786,0.420632624077871,-0.884723473023237
"srlE",3.49072486194475,4.11401775431035,6.21923290158501,0.00186027676360307,0.423305977557878,-0.922874158646826
"ymgC",-2.87171999381257,0.774919439533793,-6.0911988274857,0.00203488941553708,0.440989606195678,-0.983028944020216
"pyrL",-2.70838196158487,0.742251833088252,-5.74474289427045,0.00261442599850708,0.540829669054806,-1.15590384464421
"tRNA",-2.53524309887844,0.707624060546966,-5.37749844154459,0.00345564580592121,0.624094558415265,-1.35651517134335
"lysW",-2.53524309887844,0.707624060546966,-5.37749844154459,0.00345564580592121,0.624094558415265,-1.35651517134335
"ysaB",-2.5291854033157,0.706412521434418,-5.36464947709522,0.00349045475900021,0.624094558415265,-1.36387868507006
"SIB_RNA",-2.51056825048754,0.702689090868786,-5.32516067605531,0.00360005602941893,0.624094558415265,-1.38666016022433
"yfbV",-2.49374557727668,0.699324556226616,-5.28947814170032,0.00370260449949729,0.624094558415265,-1.4074433854579
"uspG",-3.4270484715263,1.22109684104053,-5.198878921473,0.00397886894803776,0.634940779171091,-1.46106747398682
"sdaC",3.06526607461443,2.45221285969154,5.17798641310175,0.00404598606810847,0.634940779171091,-1.4736095479684
"gst",-2.72266523293556,0.96517275538774,-5.12678385511891,0.00421620158533697,0.639597780495618,-1.50463012969166
"bglH",2.52668649854048,2.96028077121796,5.04935948594055,0.00448990338437063,0.65378431016872,-1.55230966449753
"yebV",-2.52604228581761,0.892178037472407,-5.02055623059595,0.00459703316312877,0.65378431016872,-1.5702877522643
"metZ",4.87539277823045,3.90031422258436,4.93757422965028,0.00492292229111947,0.678915737784385,-1.62282256590294
"insB-4",-3.1759382686496,1.16982807554363,-4.82774366902171,0.00539702328197468,0.690840461588117,-1.69407399255303
"holE",-2.27459577558224,0.655494595887728,-4.82463998965171,0.00541118197783128,0.690840461588117,-1.69611636036802
"D",-2.23901587980825,0.76631317961421,-4.81297478675237,0.0054647894126944,0.690840461588117,-1.70380694985242
"yfjS",-3.32280382136988,1.23741808116643,-4.69166988914363,0.00606089390795462,0.745489950678418,-1.7851361800671
"yghF",-2.16116196406275,0.751766579760587,-4.64205745326416,0.0063264780292694,0.757678987136974,-1.81912140699546
"yfeK",-2.12399436970807,0.625374314712893,-4.50519968598179,0.00713290116486498,0.806394828446437,-1.91509356110955
"livF",3.38890672391856,2.71112537913485,4.46954955563699,0.00736234995014868,0.806394828446437,-1.94063729785411
"tRNA",-2.10149471571237,0.620874383913754,-4.45747572043754,0.00744200896390911,0.806394828446437,-1.94933994061435
"argU",-2.10149471571237,0.620874383913754,-4.45747572043754,0.00744200896390911,0.806394828446437,-1.94933994061435
"cyoB",2.65719099448353,3.4321575587169,4.40908136451709,0.00777158524204846,0.822522893873547,-1.98448557954536
"yhdT",-2.8078850133685,1.08749619239267,-4.34120029020198,0.00826306980714692,0.836796784700644,-2.03450027105343
"torI",-2.04263524155861,0.609102489083001,-4.33262902203927,0.00832767599657182,0.836796784700644,-2.04087557768054
"kilR",-2.03272305313429,0.607120051398136,-4.31160430144041,0.00848866444013532,0.836796784700644,-2.0565710811461
"xdhD",2.4806761216117,2.36493783322305,4.26812765062889,0.0088332372573523,0.836796784700644,-2.0892870121714
"tRNA",-1.99252844904998,0.599081130581275,-4.22634761701536,0.00917983211989101,0.836796784700644,-2.12105790192937
"valX",-1.99252844904998,0.599081130581275,-4.22634761701536,0.00917983211989101,0.836796784700644,-2.12105790192937
"dmsB",-1.98545214202401,0.597665869176081,-4.21133807807968,0.00930820077985479,0.836796784700644,-2.13255146418513
"yaaI",-1.981683513052,0.59691214338168,-4.20334444763347,0.00937741947258467,0.836796784700644,-2.13868987346669
"alpA",-1.94386843696147,0.589349128163572,-4.12313497469034,0.0101062223524956,0.879102183635087,-2.20095244998328
"dcd",-2.1610889974988,0.848618149953943,-4.09871588072171,0.0103410518288886,0.879102183635087,-2.22015071025853
"SSU_rRNA_archaea",4.30814713829636,3.44651771063709,4.08194841578796,0.0105059764384665,0.879102183635087,-2.23339934949617
"yjgM",-2.53316072708073,1.01486887339676,-4.05327912128061,0.0107951073603497,0.879102183635087,-2.25617717281856
"manY",-3.94366872198588,6.50223370317829,-3.98723158134615,0.0114971123132349,0.879102183635087,-2.30925597700059
"yghZ",1.9209007413342,3.31096226610673,3.98100218788523,0.0115660180109117,0.879102183635087,-2.31430586504899
"yebS",-5.14247101646072,2.16274907408342,-3.95698469211705,0.0118362095305775,0.879102183635087,-2.33384651663771
"osmB",-1.84687152070974,0.569949744913226,-3.91739503353477,0.0122977347861549,0.879102183635087,-2.36630266922024
"rpiR",-1.84440898922936,0.569457238617151,-3.91217176354388,0.0123601711684741,0.879102183635087,-2.37060770723354
"vacJ",2.93562100557101,3.14463690097956,3.90789374833527,0.0124115822807973,0.879102183635087,-2.37413765220934
"rhlB",1.99435816247928,2.84253042018912,3.89176244282265,0.0126076825316708,0.879102183635087,-2.38748052054149
"tRNA",2.46572624853861,6.57599965338087,3.7584551629538,0.0143731070337094,0.879102183635087,-2.49971246956195
"5S_rRNA",-1.77083623369325,0.554742687509928,-3.75611675705925,0.014406534746756,0.879102183635087,-2.50171267582047
"ydaE",-1.76517833711874,0.553611108195027,-3.74411580534567,0.0145795090682566,0.879102183635087,-2.51199511147619
"yagN",-2.25638192794501,0.940819197026793,-3.74317987516101,0.0145930995319045,0.879102183635087,-2.51279822598637
"yeiS",-1.76158009628715,0.552891460028709,-3.73648358480133,0.0146907630457071,0.879102183635087,-2.51854936273225
"emrD",-3.15515356507223,7.08707659286594,-3.70962526833301,0.0150901430105799,0.879102183635087,-2.54170677470306
"malM",-1.74709996729695,0.549995434230669,-3.70576981573018,0.0151484957144532,0.879102183635087,-2.54504281163883
"ycgF",1.980181101403,3.50932231787599,3.69348992954976,0.0153360959723,0.879102183635087,-2.5556881558884
"htgA",-1.73518910455701,0.54761326168268,-3.68050571153054,0.0155373779998605,0.879102183635087,-2.56697693701903
"ycbF",-3.22146342798112,1.33507742850582,-3.66668963751084,0.0157549092281284,0.879102183635087,-2.5790260716262
"argV",2.29915518116073,6.60341968296318,3.65031730976875,0.0160172487495108,0.879102183635087,-2.59335413022985
"citD",-1.70383905916921,0.541343252605121,-3.61400920068713,0.0166171899118964,0.879102183635087,-2.62532090495868
"ECDH10B_1315",3.75283499619635,4.56585406919642,3.61152566950545,0.0166591637070435,0.879102183635087,-2.62751716869492
"appY",-1.69988758292117,0.540552957355513,-3.6056277332945,0.0167593339359243,0.879102183635087,-2.6327378704497
"gmr",-1.62093670496322,0.60142132935566,-3.5497715631022,0.0177431598104857,0.879102183635087,-2.68252764487061
